,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Stalwart Cuirass,Isles,Tier 2,Chestplate,Golden Chestplate,Celsian Isles,6,,,Projectile Prot. 1,,-5% Speed,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,-5%,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,-5%,,3,20
,Stalwart Helm,Isles,Tier 2,Helmet,Golden Helmet,Celsian Isles,6,,,Projectile Prot. 1,,-5% Speed,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,-5%,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,-5%,,3,20
,Stalwart Leggings,Isles,Tier 2,Leggings,Golden Leggings,Celsian Isles,6,,,Projectile Prot. 1,,-5% Speed,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,-5%,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,-5%,,3,20
,Steel Woodcutter,Isles,Tier 2,Axe,Iron Axe,Celsian Isles,,,,,,,,"12.0 Attack Damage
0.9 Attack Speed",,,,Efficiency 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Stonerazer,Isles,Tier 2,Pickaxe,Stone Pickaxe,Celsian Isles,,,,,,,,"3.0 Attack Damage
1.2 Attack Speed",Irreparability,,,Efficiency 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Strikebow,Isles,Tier 2,Bow,Bow,Celsian Isles,,,,,,+5% Speed,,"14.0 Proj Damage
1.0 Proj Speed",,,Punch 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,+5%,,3,20
,Thunder Estoc,Isles,Tier 2,Mainhand Sword,Golden Sword,Celsian Isles,,,,,,,,"7.0 Attack Damage
1.6 Attack Speed",Unbreaking 8,Thunder Aspect 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.6,,,,8,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Trusty Spade,Isles,Tier 2,Shovel,Iron Shovel,Celsian Isles,,,,,,,,"4.5 Attack Damage
1.0 Attack Speed",Unbreaking 3,,,Efficiency 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Wispblade,Isles,Tier 2,Mainhand Sword,Wooden Sword,Celsian Isles,,,,,,,,"5.5 Attack Damage
1.6 Attack Speed",Unbreaking 3,"Smite 2
Slayer 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.6,,,,3,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Wispleaf Cloak,Isles,Tier 2,Chestplate,Leather Chestplate,Celsian Isles,,4.5,,Feather Falling 3,,,,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Wispleaf Sandals,Isles,Tier 2,Boots,Leather Boots,Celsian Isles,,4.5,,Feather Falling 3,,,,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Wispleaf Skirt,Isles,Tier 2,Leggings,Leather Leggings,Celsian Isles,,4.5,,Feather Falling 3,,,,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Wispleaf Veil,Isles,Tier 2,Helmet,Leather Helmet,Celsian Isles,,4.5,,Feather Falling 3,,,,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Arachnope Axe,Isles,Tier 1,Axe,Stone Axe,Celsian Isles,,,,,,,,"10.0 Attack Damage
0.8 Attack Speed",Unbreaking 4,Slayer 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Boltrune Pick,Isles,Tier 1,Pickaxe,Stone Pickaxe,Celsian Isles,,,,,,+5% Speed,,"3.0 Attack Damage
1.2 Attack Speed",Unbreaking 1,,,Efficiency 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,3.0,1.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,+5%,,2,20
,Boots of Silence,Isles,Tier 1,Boots,Leather Boots,Celsian Isles,,2.5,,"Magic Prot. 1
Feather Falling 4",,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Celsian Standard,Isles,Tier 1,Crossbow,Crossbow,Celsian Isles,,,,,,,,"13.0 Proj Damage
1.0 Proj Speed",,,Quick Charge 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Cloak of Silence,Isles,Tier 1,Chestplate,Leather Chestplate,Celsian Isles,,2.5,,"Magic Prot. 1
Feather Falling 4",,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Coldfire Axe,Isles,Tier 1,Axe,Stone Axe,Celsian Isles,,,,,,,,"10.5 Attack Damage
0.8 Attack Speed",Unbreaking 4,"Fire Aspect 1
Ice Aspect 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,0.8,,,,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Creeper's Bane,Isles,Tier 1,Mainhand Sword,Wooden Sword,Celsian Isles,,,,,,,,"5.0 Attack Damage
1.6 Attack Speed",Unbreaking 3,Slayer 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.6,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Driftwood's Gambit,Isles,Tier 1,Mainhand Sword,Wooden Sword,Celsian Isles,,,,,,,,"6.5 Attack Damage
1.6 Attack Speed",Unbreaking 4,"Sweeping Edge 3
Chaotic 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.6,,,,4,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Farsight Flame,Isles,Tier 1,Bow,Bow,Celsian Isles,,,,,,+7% Speed,,"8.0 Proj Damage
1.0 Proj Speed",,,"Sniper 1
Fire Aspect 1
Punch 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+7%,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,1,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,+7%,,2,20
,Frozen Gladius,Isles,Tier 1,Mainhand Sword,Stone Sword,Celsian Isles,,,,,,,,"6.5 Attack Damage
1.6 Attack Speed",Unbreaking 2,Ice Aspect 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.6,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Highspruce Pickaxe,Isles,Tier 1,Pickaxe,Wooden Pickaxe,Celsian Isles,,,,Magic Prot. 1,,,,"2.0 Attack Damage
1.2 Attack Speed",,Ice Aspect 1,,Efficiency 3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Hood of Silence,Isles,Tier 1,Helmet,Leather Helmet,Celsian Isles,,2.5,,"Magic Prot. 1
Feather Falling 4",,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Hunter's Edge,Isles,Tier 1,Scythe,Iron Hoe,Celsian Isles,,,,,,,,"5.0 Attack Damage
2.0 Attack Speed",,Slayer 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Inevitable Truth,Isles,Tier 1,Axe,Stone Axe,Celsian Isles,,,,,,,,"9.0 Attack Damage
0.8 Attack Speed",Unbreaking 4,Smite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.8,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Iron Battleaxe,Isles,Tier 1,Axe,Iron Axe,Celsian Isles,,,,,,,,"12.0 Attack Damage
0.8 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Iron Broadsword,Isles,Tier 1,Mainhand Sword,Iron Sword,Celsian Isles,,,,,,,,"7.5 Attack Damage
1.6 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Iron Scythe,Isles,Tier 1,Scythe,Iron Hoe,Celsian Isles,,,,,,,,"5.0 Attack Damage
2.0 Attack Speed",,Smite 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Lavender Mage Hat,Isles,Tier 1,Helmet,Leather Helmet,Celsian Isles,,2.5,,"Magic Prot. 1
Blast Prot. 1",+2 Max Health,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,1,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,10,,,2,20
,Lavender Mage Robes (boots),Isles,Tier 1,Boots,Leather Boots,Celsian Isles,,2.5,,"Magic Prot. 1
Blast Prot. 1",+2 Max Health,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,1,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,10,,,2,20
,Lavender Mage Robes (chestplate),Isles,Tier 1,Chestplate,Leather Chestplate,Celsian Isles,,2.5,,"Magic Prot. 1
Blast Prot. 1",+2 Max Health,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,1,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,10,,,2,20
,Lavender Mage Robes (leggings),Isles,Tier 1,Leggings,Leather Leggings,Celsian Isles,,2.5,,"Magic Prot. 1
Blast Prot. 1",+2 Max Health,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,1,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,10,,,2,20
,Legionaire's Boots,Isles,Tier 1,Boots,Chainmail Boots,Celsian Isles,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Legionaire's Chestplate,Isles,Tier 1,Chestplate,Chainmail Chestplate,Celsian Isles,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Legionaire's Helmet,Isles,Tier 1,Helmet,Chainmail Helmet,Celsian Isles,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Legionaire's Leggings,Isles,Tier 1,Leggings,Chainmail Leggings,Celsian Isles,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Main-Gauche,Isles,Tier 1,Offhand Sword,Stone Sword,Celsian Isles,3.5,3.5,,,,,,,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Northwind,Isles,Tier 1,Bow,Bow,Celsian Isles,,,,,,,,"12.0 Proj Damage
1.0 Proj Speed",,,Punch 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Pirate's Boots,Isles,Tier 1,Boots,Leather Boots,Celsian Isles,,3.5,,"Melee Prot. 1
Projectile Prot. 1",,,,,Unbreaking 4,,,,Depth Strider 1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Pirate's Cap,Isles,Tier 1,Helmet,Leather Helmet,Celsian Isles,,3.5,,"Melee Prot. 1
Projectile Prot. 1",,,,,Unbreaking 4,,,,Aqua Affinity,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Pirate's Trousers,Isles,Tier 1,Leggings,Leather Leggings,Celsian Isles,,3.5,,"Melee Prot. 1
Projectile Prot. 1",,,,,Unbreaking 4,,,,Respiration 1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Pirate's Vest,Isles,Tier 1,Chestplate,Leather Chestplate,Celsian Isles,,3.5,,"Melee Prot. 1
Projectile Prot. 1",,,,,Unbreaking 4,,,,Respiration 1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Portable Defender,Isles,Tier 1,Offhand Shield,Shield,Celsian Isles,2,,,,,,+30% Attack Speed,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+30%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,+30%,2,20
,Prismatic Runestone,Isles,Tier 1,Wand,Quartz,Celsian Isles,,,,,,,,"+35% Spell Power
3.0 Attack Damage
4.0 Attack Speed",,Ice Aspect 1,,,Abyssal 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+35%,3.0,4.0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Privateer's Sabre,Isles,Tier 1,Offhand Sword,Wooden Sword,Celsian Isles,,1,,,,+10% Speed,+30% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,+30%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,+10%,,2,20
,Quivercrafter,Isles,Tier 1,Shovel,Wooden Shovel,Celsian Isles,,,,,,,,"2.5 Attack Damage
1.0 Attack Speed",Unbreaking 5,,,"Efficiency 2
Fortune 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Robe of Silence,Isles,Tier 1,Leggings,Leather Leggings,Celsian Isles,,2.5,,"Magic Prot. 1
Feather Falling 4",,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Saguaro Cap,Isles,Tier 1,Helmet,Leather Helmet,Celsian Isles,2.5,,,Melee Prot. 2,,,+2 Thorns,,Unbreaking 4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Saguaro Sarong,Isles,Tier 1,Leggings,Leather Leggings,Celsian Isles,2.5,,,Melee Prot. 2,,,+2 Thorns,,Unbreaking 4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Saguaro Slippers,Isles,Tier 1,Boots,Leather Boots,Celsian Isles,2.5,,,Melee Prot. 2,,,+2 Thorns,,Unbreaking 4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Saguaro Vest,Isles,Tier 1,Chestplate,Leather Chestplate,Celsian Isles,2.5,,,Melee Prot. 2,,,+2 Thorns,,Unbreaking 4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Salubrious Shield,Isles,Tier 1,Offhand Shield,Shield,Celsian Isles,,,,,+4 Max Health,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,,,,,,+4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,20,,,2,20
,Sentinel's Boots,Isles,Tier 1,Boots,Golden Boots,Celsian Isles,4,,,Projectile Prot. 2,,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Sentinel's Coat,Isles,Tier 1,Chestplate,Golden Chestplate,Celsian Isles,4,,,Projectile Prot. 2,,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Sentinel's Greaves,Isles,Tier 1,Leggings,Golden Leggings,Celsian Isles,4,,,Projectile Prot. 2,,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Sentinel's Helm,Isles,Tier 1,Helmet,Golden Helmet,Celsian Isles,4,,,Projectile Prot. 2,,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Spearfisher,Isles,Tier 1,Trident,Trident,Celsian Isles,,,,,,,,"9.0 Attack Damage
1.1 Attack Speed
11.0 Proj Damage
0.8 Proj Speed
1.1 Throw Rate",,,,,Abyssal 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.1,11.0,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Stalwart Shortbow,Isles,Tier 1,Bow,Bow,Celsian Isles,,,,,,,,"8.0 Proj Damage
1.0 Proj Speed",Unbreaking 3,,Point Blank 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Stonecull Chisel,Isles,Tier 1,Pickaxe,Stone Pickaxe,Celsian Isles,,,,,,,,"3.0 Attack Damage
1.2 Attack Speed",Unbreaking 1,,,Efficiency 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Thunder Rapier,Isles,Tier 1,Mainhand Sword,Golden Sword,Celsian Isles,,,,,,,,"5.5 Attack Damage
1.6 Attack Speed",Unbreaking 6,"Smite 1
Thunder Aspect 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.6,,,,6,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Trenchdigger,Isles,Tier 1,Shovel,Iron Shovel,Celsian Isles,,,,,,,,"4.5 Attack Damage
1.0 Attack Speed",,,,Efficiency 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
,Viridian Staff,Isles,Tier 1,Wand,Stick,Celsian Isles,,,,,,,,"+35% Spell Power
4.0 Attack Damage
4.0 Attack Speed",,Fire Aspect 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+35%,4.0,4.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,2,20
